date,regime,regime_score,code,action,weight,note
2026-07-13,RISKON,0.768,301526,BUY,17.9362,
2026-07-13,RISKON,0.768,688498,BUY,16.7483,
2026-07-13,RISKON,0.768,301377,BUY,15.9536,
2026-07-13,RISKON,0.768,301217,BUY,14.1612,
2026-07-13,RISKON,0.768,300604,BUY,14.1607,
2026-07-13,RISKON,0.768,688120,BUY,13.2599,
2026-07-13,RISKON,0.768,688347,BUY,12.8935,
2026-07-13,RISKON,0.768,300666,BUY,12.7278,
2026-07-13,RISKON,0.768,600176,BUY,12.2514,
2026-07-13,RISKON,0.768,002384,BUY,11.941,
2026-07-13,RISKON,0.768,688072,BUY,11.0778,
2026-07-13,RISKON,0.768,301200,BUY,10.7225,
2026-07-13,RISKON,0.768,600584,BUY,10.7069,
2026-07-13,RISKON,0.768,688702,BUY,10.2928,
2026-07-13,RISKON,0.768,688525,BUY,10.2771,
